"the_geom","SYSTEMSTOP","STREET","CROSS_ST","DIR","POS","ROUTESSTPG","OWLROUTES","CITY","PUBLIC_NAM"
"POINT (-87.75331606600002 42.029772149999985)","3,552","NILES CENTER","8200 NORTH","NB","MB","97",,"SKOKIE","8200 N Niles Center"
"POINT (-87.72801999900003 41.973522)","9,144","PULASKI","5061 NORTH","NB","MB","53",,"CHICAGO","5061 N Pulaski"
"POINT (-87.67322590100002 41.750095224000006)","15,144","DAMEN","79TH STREET","SB","FS","48",,"CHICAGO","Damen & 79th Street"
"POINT (-87.771679613 41.94577283699999)","12,493","ADDISON","MENARD","EB","NS","152",,"CHICAGO","Addison & Menard"
"POINT (-87.71415477300002 41.99020581000002)","11,445","PETERSON","KIMBALL","EB","NS","84",,"CHICAGO","Peterson & Kimball"
"POINT (-87.67681399999998 41.890728000000024)","8,917","DAMEN","GRAND","NB","NS","50",,"CHICAGO","Damen & Grand"
"POINT (-87.74490288800001 41.87301243899998)","10,286","CICERO","HARRISON","NB","NS","54",,"CHICAGO","Cicero & Harrison"
"POINT (-87.62822999999997 41.900484000999995)","5,390","STATE","OAK (south leg)","NB","NT","36",,"CHICAGO","State & Oak"
"POINT (-87.68331274899998 41.77187349899998)","8,319","WESTERN","MARQUETTE RD","NB","NS","49,X49","N49","CHICAGO","Western & Marquette Rd"
"POINT (-87.63837981699999 41.85079602100001)","5,115","CANAL","23RD STREET/ARCHER","NB","NS","44",,"CHICAGO","Canal & 23rd Street/Archer"
"POINT (-87.668199963 41.98001617400001)","14,791","CLARK","BALMORAL","NB","FS","22","N22","CHICAGO","Clark & Balmoral"
"POINT (-87.63567555100002 41.70694370000001)","12,161","103RD STREET","NORMAL","EB","NS","103",,"CHICAGO","103rd Street & Normal"
"POINT (-87.76028066499998 41.96779040400003)","3,726","LAWRENCE","MILWAUKEE","EB","FS","81","N81","CHICAGO","Lawrence & Milwaukee"
"POINT (-87.63169499899999 41.91377499999999)","1,139","STOCKTON","LASALLE","NB","FS","151,156",,"CHICAGO","Stockton & LaSalle"
"POINT (-87.71977399899998 41.84425500100002)","6,310","26TH STREET","HAMLIN","EB","NS","60","N60","CHICAGO","26th Street & Hamlin"
