"the_geom","SYSTEMSTOP","STREET","CROSS_ST","DIR","POS","ROUTESSTPG","OWLROUTES","CITY","PUBLIC_NAM"
"POINT (-87.63707499999998 41.89639300099998)","6,714","ORLEANS","CHICAGO","NB","NS","37",,"CHICAGO","Orleans & Chicago"
"POINT (-87.62085220400002 41.69980337300001)","7,612","MICHIGAN","107TH STREET","NB","NS","34,119","N34","CHICAGO","Michigan & 107th Street"
"POINT (-87.67180538000002 41.874187259999985)","17,075","HARRISON","WOOD","WB","FS","7,126",,"CHICAGO","Harrison & Wood"
"POINT (-87.69680625000001 41.895573034999984)","544","CHICAGO","CALIFORNIA","EB","NS","66","N66","CHICAGO","Chicago & California"
"POINT (-87.66447837800001 41.80125326699999)","15,024","51ST STREET","ASHLAND","EB","FS","51",,"CHICAGO","51st Street & Ashland"
"POINT (-87.66379063 41.768704098)","14,864","ASHLAND","69TH STREET","NB","FS","9,X9","N9","CHICAGO","Ashland & 69th Street"
"POINT (-87.71137989800002 41.793471496999985)","10,622","55TH STREET","ST. LOUIS","WB","FS","55",,"CHICAGO","55th Street & St. Louis"
"POINT (-87.78287543800002 41.921952669999996)","836","GRAND","MOBILE","WB","NS","65",,"CHICAGO","Grand & Mobile"
"POINT (-87.72460164099999 41.85402778100001)","14,888","PULASKI","PINK LINE STATION","WB","MB","157",,"CHICAGO","Pulaski Pink Line Station"
"POINT (-87.63308299900001 41.75429700000001)","6,440","VINCENNES","77TH STREET","NB","NS","24",,"CHICAGO","Vincennes & 77th Street"
"POINT (-87.67837500000002 41.85207600000001)","6,932","CERMAK","HOYNE","EB","NS","21",,"CHICAGO","Cermak & Hoyne"
"POINT (-87.69050761300002 41.94667222099997)","12,525","ADDISON","LANE STADIUM DRIVEWAY","EB","FS","152",,"CHICAGO","Addison & Campbell (Lane Tech HS)"
"POINT (-87.69230200099997 41.86648500000001)","288","ROOSEVELT","TALMAN","EB","NS","12",,"CHICAGO","Roosevelt & Talman"
"POINT (-87.644491319 41.950428835000025)","1,163","LAKE SHORE","WAVELAND","NB","NT","135,146,151,152",,"CHICAGO","Lake Shore & Waveland"
"POINT (-87.58912500000002 41.80580500000002)","5,038","LAKE PARK","49TH STREET","NB","MT","2,6,28",,"CHICAGO","Lake Park & 49th Street"
"POINT (-87.67672599999997 41.88759000099998)","8,915","DAMEN","CARROLL","NB","NS","50",,"CHICAGO","Damen & Carroll"
"POINT (-87.70526571800002 41.858159371)","6,655","OGDEN","KEDZIE","SWB","NS","157",,"CHICAGO","Ogden & Kedzie"
"POINT (-87.785328929 41.975533772000006)","9,807","HIGGINS","FOSTER","NWB","NS","88",,"CHICAGO","Higgins & Foster"
"POINT (-87.63946533000001 41.935382531000016)","1,075","SHERIDAN","OAKDALE","SB","FS","134,143,151,156",,"CHICAGO","Sheridan & Oakdale"
"POINT (-87.621002116 41.69967175300002)","15,081","MICHIGAN","107TH STREET","SB","FS","34,119","N34","CHICAGO","Michigan & 107th Street"
"POINT (-87.73575830499999 41.94646747899998)","15,016","MILWAUKEE","ADDISON","NWB","FS","56",,"CHICAGO","Milwaukee & Addison"
"POINT (-87.65485799999999 41.965246001000025)","1,049","SHERIDAN","WILSON","SB","FS","151",,"CHICAGO","Sheridan & Wilson"
"POINT (-87.61520744 41.75815699100002)","2,244","KING DRIVE","75TH STREET","SB","FS","3",,"CHICAGO","King Drive & 75th Street"
"POINT (-87.68665124799998 41.88442808999997)","8,231","WESTERN","LAKE","SB","FS","49","N49","CHICAGO","Western & Lake"
"POINT (-87.60992757100001 41.692897378)","2,837","COTTAGE GROVE","111TH STREET","SB","NS","4,115",,"CHICAGO","Cottage Grove & 111th Street"
"POINT (-87.72835725599998 41.975665832000004)","8,981","PULASKI","FOSTER","SB","NS","53",,"CHICAGO","Pulaski & Foster"
"POINT (-87.617413581 41.830845668999984)","2,202","KING DRIVE","35TH STREET","SB","FS","3",,"CHICAGO","King Drive & 35th Street"
"POINT (-87.69390552099998 41.80086042200003)","4,161","CALIFORNIA","51ST STREET","NB","NS","94",,"CHICAGO","California & 51st Street"
"POINT (-87.64628242100002 41.89025007700002)","5,503","MILWAUKEE","HUBBARD/UNION","SEB","NS","56",,"CHICAGO","Milwaukee & Hubbard/Union"
"POINT (-87.70261816499999 41.76102527400002)","15,680","KEDZIE","73RD STREET","NB","FS","52A",,"CHICAGO","Kedzie & 73rd Street"
"POINT (-87.66559813700002 41.837594362999994)","6,213","ASHLAND","ARCHER","NB","NS","9","N9","CHICAGO","Ashland & Archer"
"POINT (-87.77481199900001 41.881868)","9,606","AUSTIN","WASHINGTON","SB","FS","91",,"OAK PARK","Austin & Washington"
"POINT (-87.633170903 41.907506969999986)","1,413","LASALLE","SCHILLER","SB","FS","156",,"CHICAGO","LaSalle & Schiller"
"POINT (-87.63025810699997 41.85522171600002)","6,300","CLARK","ARCHER","SB","NS","24",,"CHICAGO","Clark & Archer"
"POINT (-87.644531535 41.77420381600001)","5,878","HALSTED","66TH STREET","NB","NS","8",,"CHICAGO","Halsted & 66th Street"
"POINT (-87.67693000100002 41.889801999999975)","8,862","DAMEN","HUBBARD","SB","NS","50",,"CHICAGO","Damen & Hubbard"
"POINT (-87.70236899899999 41.746236001)","10,024","KEDZIE","81ST STREET","SB","NS","52A",,"CHICAGO","Kedzie & 81st Street"
"POINT (-87.638499921 41.90665762399999)","6,605","SEDGWICK","EVERGREEN (north leg)","SB","NT","37",,"CHICAGO","Sedgwick & Evergreen"
"POINT (-87.83549313200001 41.944438133000006)","12,462","ADDISON","CUMBERLAND","NB","TERM","152",,"CHICAGO","Addison & Cumberland Terminal"
"POINT (-87.58712825600003 41.79825739)","7,133","LAKE PARK","54TH STREET","NB","FT","15,28",,"CHICAGO","Lake Park & 54th Street"
"POINT (-87.65476699999999 41.788659000999985)","5,171","RACINE","58TH STREET","SB","NS","44",,"CHICAGO","Racine & 58th Street"
"POINT (-87.67291713399999 41.737710866999976)","8,804","DAMEN","86TH STREET (north leg)","SB","NS","48",,"CHICAGO","Damen & 86th Street"
"POINT (-87.724405757 41.800278057000014)","4,410","PULASKI/51ST","ORANGE LINE STATION","EB","TERM","62",,"CHICAGO","Pulaski Orange Line Station"
"POINT (-87.74409294899999 41.946099171000014)","12,504","ADDISON","KILPATRICK (east leg)","EB","NS","152",,"CHICAGO","Addison & Kilpatrick"
"POINT (-87.71817631200003 41.78595591300001)","12,959","59TH STREET","HAMLIN","EB","NS","59",,"CHICAGO","59th Street & Hamlin"
"POINT (-87.73280199999999 42.02619800000002)","3,604","OAKTON","KEELER","EB","NS","97",,"SKOKIE","Oakton & Keeler"
"POINT (-87.70588393600002 41.78612767300001)","12,964","59TH STREET","SPAULDING","EB","NS","59",,"CHICAGO","59th Street & Spaulding"
"POINT (-87.57824053399997 41.73695540799997)","9,432","87TH STREET","BENNETT","EB","NS","87",,"CHICAGO","87th Street & Bennett"
"POINT (-87.661369799 41.93245707099999)","11,025","DIVERSEY","LAKEWOOD","EB","NS","76",,"CHICAGO","Diversey & Lakewood"
"POINT (-87.57103799999999 41.73704500000002)","9,435","87TH STREET","PAXTON","EB","NS","87",,"CHICAGO","87th Street & Paxton"
"POINT (-87.77877185199998 41.85065507600001)","6,978","CERMAK","LOMBARD","EB","NS","21,322",,"BERWYN","Cermak & Lombard"
"POINT (-87.75002493099998 41.75996314299999)","10,380","73RD STREET","LEAMINGTON","EB","NT","54B",,"BEDFORD PARK","73rd Street & Leamington"
"POINT (-87.69964399899999 41.99583900099998)","11,878","CALIFORNIA","ROSEMONT","SB","NS","93",,"CHICAGO","California & Rosemont"
"POINT (-87.642359999 41.68884800000001)","3,716","HALSTED","113TH STREET","SB","NS","8A,108",,"CHICAGO","Halsted & 113th Street"
"POINT (-87.64253499900002 41.69432699999999)","3,713","HALSTED","110TH STREET","SB","NS","8A,108",,"CHICAGO","Halsted & 110th Street"
"POINT (-87.62620299999998 41.811001999999974)","2,411","STATE","46TH STREET","SB","MT","29",,"CHICAGO","State & 46th Street"
"POINT (-87.788023022 41.97210113699998)","9,549","NAGLE","ARGYLE","SB","NS","86",,"CHICAGO","Nagle & Argyle"
"POINT (-87.68699108800001 41.89588546700003)","8,225","WESTERN","CHICAGO","SB","NS","49,X49","N49","CHICAGO","Western & Chicago"
"POINT (-87.76213920200001 41.79584341899999)","4,524","ARCHER","CENTRAL","SWB","NS","62,62H",,"CHICAGO","Archer & Central"
"POINT (-87.65597797599997 41.70716646300002)","6,577","VINCENNES","103RD STREET","SB","NS","112",,"CHICAGO","Vincennes & 103rd Street"
"POINT (-87.65506900000003 41.97621299999997)","1,042","SHERIDAN","FOSTER","SB","FS","151",,"CHICAGO","Sheridan & Foster"
"POINT (-87.617975 41.898075000000006)","5,000","LAKE SHORE","betw. CHESTNUT & PEARSON","SEB","MB","157",,"CHICAGO","Lake Shore & Chestnut/Pearson"
"POINT (-87.74133045600001 41.75416863200002)","2,718","CICERO","76TH STREET","NB","NS","79",,"CHICAGO","Cicero & 76th Street"
"POINT (-87.72545153300001 41.871115538000026)","9,041","PULASKI","POLK (north leg)","SB","NS","53",,"CHICAGO","Pulaski & Polk"
"POINT (-87.68098929799999 41.82868757)","14,133","35TH/ARCHER","ORANGE LINE STATION","SWB","TERM","39",,"CHICAGO","35th/Archer Orange Line Station"
"POINT (-87.717332999 41.684123)","10,066","115TH STREET","SPRINGFIELD","SB","TERM","52A,53A",,"CHICAGO","115th Street & Springfield Terminal"
"POINT (-87.60632880399999 41.79313950300002)","2,559","COTTAGE GROVE","56TH STREET","SB","MT","2,4","N4","CHICAGO","Cottage Grove & 56th Street"
"POINT (-87.60780699999998 41.70209299999999)","2,832","COTTAGE GROVE","106TH STREET","SB","MT","4,115",,"CHICAGO","Cottage Grove & 106th Street"
"POINT (-87.84292210000001 41.97841431699999)","8,594","PAVILION","5441 BUILDING","EB","MB","81W",,"CHICAGO","Pavilion 5441 Building"
"POINT (-87.698562025 41.88099888199997)","16,110","MADISON","FRANCISCO","EB","FS","20","N20","CHICAGO","Madison & Francisco"
"POINT (-87.752759486 41.90943469199999)","867","NORTH AVENUE","LECLAIRE (east leg)","EB","NT","72",,"CHICAGO","North Ave & Leclaire"
"POINT (-87.57133299899999 41.751615001000005)","2,801","79TH STREET","PAXTON","EB","NS","79","N79","CHICAGO","79th Street & Paxton"
"POINT (-87.707033002 41.997296620999975)","1,722","DEVON","ALBANY","EB","NS","155",,"CHICAGO","Devon & Albany"
"POINT (-87.65375363800001 41.75404337600003)","5,051","RACINE","77TH STREET","NB","NS","44",,"CHICAGO","Racine & 77th Street"
"POINT (-87.81368879500002 41.996995097000024)","9,851","DEVON","OLCOTT","EB","NS","88",,"CHICAGO","Devon & Olcott"
"POINT (-87.71609800099998 41.97560600000003)","4,770","FOSTER","ST. LOUIS","EB","NS","92",,"CHICAGO","Foster & St. Louis"
"POINT (-87.69289317300002 41.932061799999985)","11,012","DIVERSEY","ROCKWELL","EB","NS","76",,"CHICAGO","Diversey & Rockwell"
"POINT (-87.67215104500002 41.97606971099998)","4,789","FOSTER","PAULINA","EB","NS","50,92",,"CHICAGO","Foster & Paulina"
"POINT (-87.641317399 41.91817952600002)","4,081","ARMITAGE","CLEVELAND","EB","NS","73",,"CHICAGO","Armitage & Cleveland"
"POINT (-87.67959733100002 41.895787410000025)","551","CHICAGO","HOYNE","EB","NS","66","N66","CHICAGO","Chicago & Hoyne"
"POINT (-87.69287614500001 41.84465620399999)","6,321","26TH STREET","WASHTENAW (west leg)","EB","NT","60","N60","CHICAGO","26th Street & Washtenaw"
"POINT (-87.833413968 41.937588713000025)","9,225","BELMONT","PLAINFIELD","EB","FT","77",,"RIVER GROVE","Belmont & Plainfield"
"POINT (-87.58039599900002 41.72595300099999)","11,937","93RD STREET","CREGIER","EB","NS","N5,95","N5","CHICAGO","93rd Street & Cregier"
"POINT (-87.62022100000002 41.67069700000002)","7,595","MICHIGAN","123RD STREET","NB","NS","34","N34","CHICAGO","Michigan & 123rd Street"
"POINT (-87.68985299899998 41.99945200000002)","1,679","WESTERN","ARTHUR","NB","NS","49B",,"CHICAGO","Western & Arthur"
"POINT (-87.72432923000002 41.917138405)","4,041","ARMITAGE","SPRINGFIELD","EB","NS","73",,"CHICAGO","Armitage & Springfield"
"POINT (-87.70795699899998 42.02636100000001)","3,614","OAKTON","2424 WEST","EB","MB","97",,"EVANSTON","2424 W Oakton"
"POINT (-87.67113115799998 41.96877915699997)","3,764","LAWRENCE","PAULINA","EB","NS","81","N81","CHICAGO","Lawrence & Paulina"
"POINT (-87.55150961300001 41.74460182199999)","7,016","83RD STREET","COMMERCIAL RR CROSSING","EB","NS","N5,26,71","N5","CHICAGO","83rd Street & Commercial"
"POINT (-87.728599283 41.895230689000016)","529","CHICAGO","KARLOV","EB","NT","66",,"CHICAGO","Chicago & Karlov"
"POINT (-87.62720644000001 41.863965398000005)","2,351","STATE","14TH STREET","NB","NS","29,62",,"CHICAGO","State & 14th Street"
"POINT (-87.66619209499999 41.721041129000014)","3,494","95TH STREET","VANDERPOEL (west leg)","EB","FS","95",,"CHICAGO","95th Street & Vanderpoel"
"POINT (-87.61182450799998 41.83132171)","7,629","35TH STREET","west of COTTAGE GROVE","WB","MB","35,4","N4","CHICAGO","35th Street & Cottage Grove"
"POINT (-87.718597698 41.902812703999984)","15,042","DIVISION","GRAND/MONTICELLO","WB","FS","70",,"CHICAGO","Division & Grand/Monticello"
"POINT (-87.65516245200001 41.80861884699999)","5,083","RACINE","47TH STREET","NB","NS","44",,"CHICAGO","Racine & 47th Street"
"POINT (-87.61553789599998 41.780437172999996)","2,138","KING DRIVE","63RD STREET","NB","FS","3",,"CHICAGO","King Drive & 63rd Street (Green Line)"
"POINT (-87.62625447099998 41.82032749199999)","15,467","STATE","41ST STREET","NB","FS","29",,"CHICAGO","State & 41st Street"
"POINT (-87.613384252 41.70725511699999)","15,158","103RD STREET","KING DRIVE","EB","FS","106",,"CHICAGO","103rd Street & King Drive"
"POINT (-87.71792226100001 41.97558270000002)","15,774","FOSTER","CENTRAL PARK","EB","FS","92",,"CHICAGO","Foster & Central Park"
"POINT (-87.67867639500002 41.946799575)","12,531","ADDISON","DAMEN","EB","NS","152",,"CHICAGO","Addison & Damen"
"POINT (-87.62707154700001 41.85814539299997)","14,761","STATE","18TH STREET","NB","FS","29,62",,"CHICAGO","State & 18th Street"
"POINT (-87.655960166 41.70666855799999)","6,413","VINCENNES","103RD STREET","NB","NS","112",,"CHICAGO","Vincennes & 103rd Street"
"POINT (-87.7084903 41.97198080700002)","11,894","KEDZIE","ARGYLE","NB","NS","82,93",,"CHICAGO","Kedzie & Argyle"
"POINT (-87.665868671 41.85256757500002)","14,499","ASHLAND","CERMAK","NB","FS","9,X9","N9","CHICAGO","Ashland & Cermak"
"POINT (-87.74571603300001 41.894878302999984)","10,301","CICERO","CHICAGO","NB","NS","54",,"CHICAGO","Cicero & Chicago"
"POINT (-87.73266121500001 41.79304769999999)","10,498","55TH STREET","KOSTNER","EB","FS","55",,"CHICAGO","55th Street & Kostner"
"POINT (-87.60097321199999 41.79492761300003)","15,193","55TH STREET","ELLIS","EB","FS","55","N55","CHICAGO","55th Street & Ellis"
"POINT (-87.67133400099999 41.87405899999999)","48","HARRISON","WOOD","EB","FS","126",,"CHICAGO","Harrison & Wood"
"POINT (-87.65489600000001 41.976620001000015)","1,184","SHERIDAN","FOSTER","NB","FS","136,147,151",,"CHICAGO","Sheridan & Foster"
"POINT (-87.61513160099997 41.765831608999974)","2,129","KING DRIVE","71ST STREET","NB","FS","3",,"CHICAGO","King Drive & 71st Street"
"POINT (-87.63259253899997 41.89686501699998)","4,983","LASALLE","CHICAGO","NB","FS","156",,"CHICAGO","LaSalle & Chicago"
"POINT (-87.76479999399999 41.87268299599998)","153","HARRISON","CENTRAL","NB","TERM","7",,"CHICAGO","Harrison & Central Terminal"
"POINT (-87.62784061899998 41.892400226999996)","15,109","OHIO","STATE","EB","FS","125",,"CHICAGO","Ohio & State"
"POINT (-87.63777080300002 41.787078302)","12,991","59TH STREET","NORMAL","EB","NS","59",,"CHICAGO","59th Street & Normal"
"POINT (-87.63226500000002 41.881838001000006)","4,973","LASALLE","MADISON","NB","NS","134,135,136,156",,"CHICAGO","LaSalle & Madison"
"POINT (-87.70367150499999 41.80071490400002)","3,112","KEDZIE","51ST STREET","NB","NS","52,52A",,"CHICAGO","Kedzie & 51st Street"
"POINT (-87.637532309 41.90356027299998)","15,437","ORLEANS","DIVISION","SB","FS","37",,"CHICAGO","Orleans & Division"
"POINT (-87.639459891 41.879194649)","5,009","CANAL","ADAMS","NB","NS","60,125,157,192","N60","CHICAGO","Canal & Adams"
"POINT (-87.630255294 41.789839529000005)","6,459","WENTWORTH","57TH PLACE","NB","NS","24,59",,"CHICAGO","Wentworth & 57th Place"
"POINT (-87.625788 41.87576800099998)","1,111","IDA B WELLS DRIVE","WABASH","WB","NS","147",,"CHICAGO","Ida B Wells Drive & Wabash"
"POINT (-87.693569615 41.92072237299999)","5,552","MILWAUKEE","TALMAN/ATTRILL","NWB","NS","56",,"CHICAGO","Milwaukee & Talman"
"POINT (-87.63177999999999 41.78900800100001)","6,531","WELLS","58TH STREET","SB","NS","24,59",,"CHICAGO","Wells & 58th Street"
"POINT (-87.69957575900003 42.02131778500001)","3,621","DODGE","BRUMMEL","SB","NS","93,97",,"EVANSTON","Dodge & Brummel"
"POINT (-87.668386811 41.91905200000002)","6,015","ASHLAND","ELSTON","SB","NS","9",,"CHICAGO","Ashland & Elston"
"POINT (-87.62565199900001 41.741918)","2,451","LAFAYETTE","84TH STREET","SB","NS","29",,"CHICAGO","Lafayette & 84th Street"
"POINT (-87.587364923 41.798183134)","7,178","LAKE PARK","54TH STREET","SB","NS","15,28",,"CHICAGO","Lake Park & 54th Street"
"POINT (-87.61655689899999 41.80371626300001)","2,217","KING DRIVE","50TH STREET","SB","FS","3",,"CHICAGO","King Drive & 50th Street"
"POINT (-87.627452818 41.87488285500001)","15,052","STATE","betw HARRISON & IDA B WELLS DRIVE","NB","MB","2,10,29,130,146,148",,"CHICAGO","State & Harrison/Ida B Wells Drive"
"POINT (-87.70926276699998 41.99913276799998)","15,048","KEDZIE","ARTHUR","NB","NS","11",,"CHICAGO","Kedzie & Arthur"
"POINT (-87.64905210299997 41.967347131999986)","3,775","MARINE DRIVE","4701 NORTH","NB","MB","81,136,146","N81","CHICAGO","Marine Drive & Leland"
"POINT (-87.70463816300003 42.01190446700002)","12,040","TOUHY","SACRAMENTO","EB","NS","96",,"CHICAGO","Touhy & Sacramento"
"POINT (-87.71087999999997 41.87356599999998)","178","HARRISON","HOMAN","EB","NS","7",,"CHICAGO","Harrison & Homan"
"POINT (-87.72263599299998 41.946354299999996)","12,513","ADDISON","HAMLIN","EB","NS","152",,"CHICAGO","Addison & Hamlin"
"POINT (-87.67464774899997 41.946841603999985)","12,533","ADDISON","BROWN LINE STATION","EB","MB","152",,"CHICAGO","Addison Brown Line Station"
"POINT (-87.66022550000002 41.99813048200002)","1,029","SHERIDAN 6400N","BROADWAY/DEVON","EB","FS","136,147,151","0","CHICAGO","Sheridan & Broadway/Devon"
"POINT (-87.55724409499999 41.76048838700001)","10,963","75TH STREET","SOUTH SHORE","EB","NS","N5,71,75","N5","CHICAGO","75th Street & South Shore"
"POINT (-87.54602300099998 41.73738300000002)","9,446","87TH STREET","BURLEY (west leg)","EB","NS","87",,"CHICAGO","87th Street & Burley"
"POINT (-87.657333 41.88154500000002)","436","MADISON","RACINE (west leg)","EB","NS","20","N20","CHICAGO","Madison & Racine"
"POINT (-87.69316708100001 41.779043505000004)","14,855","63RD STREET","CALIFORNIA","EB","FS","63","N63","CHICAGO","63rd Street & California"
"POINT (-87.705829 41.69143100100001)","12,390","111TH STREET","HOMAN","EB","NS","112",,"CHICAGO","111th Street & Homan"
"POINT (-87.742952318 41.805721601000016)","8,128","CICERO","48TH STREET","NB","NS","47,54B",,"CHICAGO","Cicero & 48th Street"
"POINT (-87.747965953 42.01439958100002)","10,466","CICERO","SHERWIN","SB","NS","54A",,"LINCOLNWOOD","Cicero & Sherwin"
"POINT (-87.714002 41.98853100000002)","11,116","KIMBALL","THORNDALE","SB","NS","82",,"CHICAGO","Kimball & Thorndale"
"POINT (-87.55250979800002 41.72811781600001)","11,951","EXCHANGE","92ND STREET","NEB","NS","N5,95","N5","CHICAGO","Exchange & 92nd Street"
"POINT (-87.70042495299998 41.925023485999986)","15,045","MILWAUKEE","FULLERTON","NWB","FS","56",,"CHICAGO","Milwaukee & Fullerton"
"POINT (-87.64160246400002 41.92021266299997)","1,402","LINCOLN","DICKENS/CLEVELAND","SEB","NS","37",,"CHICAGO","Lincoln & Dickens/Cleveland"
"POINT (-87.75599043 41.902317617999984)","17,185","DIVISION","LARAMIE","WB","FS","70",,"CHICAGO","Division & Laramie"
"POINT (-87.643553414 41.72155944100001)","17,433","95TH STREET","HALSTED","WB","FS","N9,95,112","N9","CHICAGO","95th Street & Halsted"
"POINT (-87.58571329400002 41.72242853900002)","17,081","95TH STREET","STONY ISLAND","WB","FS","100",,"CHICAGO","95th Street & Stony Island"
"POINT (-87.652209744 41.96186986599997)","17,045","MONTROSE","HAZEL","WB","NS","78",,"CHICAGO","Montrose & Hazel"
"POINT (-87.68886500100001 41.96494100000001)","8,185","WESTERN","WILSON","SB","NS","49","N49","CHICAGO","Western & Wilson"
"POINT (-87.64409805999998 41.92201015500001)","1,401","LINCOLN","WEBSTER/GENEVA T./LARABEE","SEB","NS","37",,"CHICAGO","Lincoln & Webster"
"POINT (-87.65766322500002 41.84189514600001)","4,475","ARCHER","LOOMIS/FULLER","SWB","NS","62","N62","CHICAGO","Archer & Loomis/Fuller"
"POINT (-87.642504675 41.692447039)","3,714","HALSTED","111TH STREET","SB","NS","8A,108",,"CHICAGO","Halsted & 111th Street"
"POINT (-87.77548313900002 41.914330045999975)","9,585","AUSTIN","CORTLAND","SB","NS","91",,"CHICAGO","Austin & Cortland"
"POINT (-87.666287248 41.852079608999986)","6,331","BLUE ISLAND","ASHLAND/CERMAK","NEB","NS","60","N60","CHICAGO","Blue Island & Ashland/Cermak"
"POINT (-87.83667500000001 41.977281000000005)","8,562","CUMBERLAND","CATHERINE","SB","NT","81W",,"CHICAGO","Cumberland & Catherine"
"POINT (-87.615286486 41.761897352000005)","2,242","KING DRIVE","73RD STREET","SB","FS","3",,"CHICAGO","King Drive & 73rd Street"
"POINT (-87.65358946600003 41.73602723900001)","14,540","87TH STREET","RACINE","WB","FS","87","N87","CHICAGO","87th Street & Racine"
"POINT (-87.62038000000001 41.89233999999999)","587","FAIRBANKS","OHIO","SB","FS","2,120,121,66","N66","CHICAGO","Fairbanks & Ohio"
"POINT (-87.70587499099997 41.869892058000005)","17,417","KEDZIE","ARTHINGTON","SB","FS","52",,"CHICAGO","Kedzie & Arthington"
"POINT (-87.64231699999999 41.68703199999999)","3,717","HALSTED","114TH STREET","SB","NS","8A,108",,"CHICAGO","Halsted & 114th Street"
"POINT (-87.67596518699997 41.854446274)","15,200","DAMEN","PINK LINE STATION","SB","MB","50, 755",,"CHICAGO","Damen Pink Line Station"
"POINT (-87.664081979 41.95719452600002)","14,439","CLARK","SOUTHPORT","SB","FS","22","N22","CHICAGO","Clark & Southport"
"POINT (-87.74756426599998 42.02833243600003)","17,675","SKOKIE","YELLOW LINE STATION","SB","MB","54A",,"SKOKIE","Oakton Yellow Line Station"
"POINT (-87.70779771399998 41.92989023299998)","11,005","LOGAN SQUARE","BLUE LINE STATION","EB","TERM","76",,"CHICAGO","Logan Square Blue Line Station"
"POINT (-87.70780185400002 41.92990442399997)","17,674","LOGAN SQUARE","BLUE LINE STATION","WB","TERM","76",,"CHICAGO","Logan Square Blue Line Station"
"POINT (-87.73869300000001 41.902394000000015)","1,985","DIVISION","KILBOURN","EB","NS","70",,"CHICAGO","Division & Kilbourn"
"POINT (-87.70414176700001 42.02646610900001)","3,616","OAKTON","HARTREY","EB","MT","97",,"EVANSTON","Oakton & Hartrey"
"POINT (-87.59313956599999 41.75130709199999)","2,790","79TH STREET","KIMBARK","EB","NS","79","N79","CHICAGO","79th Street & Kimbark"
"POINT (-87.72282126300001 41.866115087000026)","274","ROOSEVELT","SPRINGFIELD","EB","NS","12",,"CHICAGO","Roosevelt & Springfield"
"POINT (-87.738397529 41.895066196000016)","525","CHICAGO","KILBOURN (east leg)","EB","NT","66",,"CHICAGO","Chicago & Kilbourn"
"POINT (-87.66464155300002 41.96887203099999)","3,767","LAWRENCE","BEACON","EB","NS","81","N81","CHICAGO","Lawrence & Beacon"
"POINT (-87.73323830700002 41.97540822799999)","4,763","FOSTER","KEELER","EB","NS","92",,"CHICAGO","Foster & Keeler"
"POINT (-87.69571299900002 41.862503000000004)","4,195","CALIFORNIA","14TH STREET","NB","NS","94",,"CHICAGO","California & 14th Street"
"POINT (-87.60838678300001 41.768028621999974)","7,405","SOUTH CHICAGO","69TH PLACE","NWB","NS","30",,"CHICAGO","South Chicago & 69th Place"
"POINT (-87.69971899900003 42.01576700099997)","11,866","CALIFORNIA","JARVIS","SB","NS","93",,"CHICAGO","California & Jarvis"
"POINT (-87.75545899999997 41.889381001000004)","3,839","LARAMIE","FERDINAND (south leg)","SB","NS","57",,"CHICAGO","Laramie & Ferdinand"
"POINT (-87.72063211599999 41.703925233999996)","12,897","PULASKI","104TH STREET","NB","NS","53A",,"CHICAGO","Pulaski & 104th Street"
"POINT (-87.67005522599999 41.90321268500003)","2,013","DIVISION","PAULINA (east leg)","EB","NS","70",,"CHICAGO","Division & Paulina"
"POINT (-87.55712800100002 41.73727500000001)","9,441","87TH STREET","MANISTEE (east leg)","EB","NS","87",,"CHICAGO","87th Street & Manistee"
"POINT (-87.668862112 41.76842895300001)","10,154","69TH STREET","WOOD","EB","NS","67",,"CHICAGO","69th Street & Wood"
"POINT (-87.68551484900001 41.93217214600003)","11,015","DIVERSEY","OAKLEY","EB","MT","76",,"CHICAGO","Diversey & Oakley"
"POINT (-87.74161200100002 41.92424299999999)","1,308","FULLERTON","KENTON (west leg)","EB","FT","74",,"CHICAGO","Fullerton & Kenton"
"POINT (-87.730581648 41.96811322299999)","3,739","LAWRENCE","KARLOV","EB","NS","81","N81","CHICAGO","Lawrence & Karlov"
"POINT (-87.710803999 41.96109999999999)","11,339","MONTROSE","SPAULDING","EB","NS","78",,"CHICAGO","Montrose & Spaulding"
"POINT (-87.69543663399998 41.92473347399999)","1,330","FULLERTON","WASHTENAW (west leg)","EB","FS","74",,"CHICAGO","Fullerton & Washtenaw"
"POINT (-87.66678084 41.793563404)","10,527","GARFIELD","PAULINA","EB","FS","55","N55","CHICAGO","Garfield & Paulina"
"POINT (-87.76901519299997 41.850837135000006)","6,980","CERMAK","58TH AVENUE","EB","NS","21,322",,"CICERO","Cermak & 58th Avenue"
"POINT (-87.70939104899998 42.00102768800002)","12,088","KEDZIE","ALBION","SB","NT","11",,"LINCOLNWOOD","Kedzie & Albion"
"POINT (-87.680229 41.830160999999976)","4,486","LEAVITT","35TH STREET","SB","FS","35,50,62","N62","CHICAGO","Leavitt & 35th Street"
"POINT (-87.77398990299997 41.777583015999994)","4,566","MEADE","63RD STREET","SB","FS","55A",,"CHICAGO","Meade & 63rd Street"
"POINT (-87.655054001 41.79969299999999)","5,164","RACINE","52ND STREET","SB","NS","44",,"CHICAGO","Racine & 52nd Street"
"POINT (-87.72074899900002 41.70047699999998)","12,887","PULASKI","106TH STREET","SB","NS","53A",,"OAK LAWN","Pulaski & 106th Street"
"POINT (-87.617176572 41.82927064699999)","2,203","KING DRIVE","3600 SOUTH","SB","MB","3",,"CHICAGO","3600 S King Drive"
