"Geography Type","Year","Geography","Population - Total","Population - Age 0-17","Population - Age 18-29","Population - Age 30-39","Population - Age 40-49","Population - Age 50-59","Population - Age 60-69","Population - Age 70-79","Population - Age 80+","Population - Age 0-4","Population - Age 5-11","Population - Age 12-17","Population - Age 5+","Population - Age 18+","Population - Age 65+","Population - Female","Population - Male","Population - Latinx","Population - Asian Non-Latinx","Population - Black Non-Latinx","Population - White Non-Latinx","Population - Other Race Non-Latinx","Record ID"
"ZIP Code","2019","60632","89,857","25,874","17,624","12,751","11,240","9,063","6,797","4,774","1,734","6,734","10,103","9,037","83,123","63,983","9,384","43,856","46,001","74,575","6,176","1,034","7,652","420","ZIP_Code-60632-2019"
"ZIP Code","2019","60633","12,689","2,781","1,909","1,787","1,480","1,943","1,286","975","528","710","805","1,257","11,979","9,908","2,089","6,044","6,645","6,038","0","2,955","3,654","42","ZIP_Code-60633-2019"
"ZIP Code","2019","60634","75,082","16,271","10,415","11,160","10,302","10,919","8,529","4,761","2,725","4,508","6,182","5,573","70,574","58,811","11,445","38,764","36,318","28,812","4,121","1,073","40,322","754","ZIP_Code-60634-2019"
"ZIP Code","2019","60636","30,024","6,693","4,672","3,304","3,432","3,969","3,019","3,746","1,189","1,859","2,461","2,373","28,165","23,331","6,321","16,097","13,927","2,823","24","26,359","441","377","ZIP_Code-60636-2019"
"ZIP Code","2019","60637","47,300","11,114","11,975","5,877","4,931","5,254","4,636","2,183","1,330","3,022","4,169","3,813","44,278","36,186","5,588","26,629","20,671","1,543","2,218","35,425","6,966","1,148","ZIP_Code-60637-2019"
"ZIP Code","2019","60638","58,669","14,545","7,924","8,989","7,264","7,874","6,506","3,398","2,169","3,884","5,542","5,119","54,785","44,124","8,240","29,443","29,226","29,543","311","2,177","26,016","622","ZIP_Code-60638-2019"
"ZIP Code","2019","60639","88,204","23,036","15,550","13,440","12,571","10,179","8,034","3,780","1,614","6,161","9,273","7,600","82,043","65,168","8,698","44,143","44,061","68,792","1,124","10,828","6,628","832","ZIP_Code-60639-2019"
"ZIP Code","2019","60640","69,363","9,048","14,021","15,071","10,179","8,372","6,017","3,545","3,110","2,910","3,768","2,323","66,453","60,315","9,319","33,290","36,073","9,772","7,411","11,484","38,787","1,909","ZIP_Code-60640-2019"
"ZIP Code","2019","60641","69,880","15,420","10,959","11,809","10,150","8,899","7,444","3,286","1,913","4,385","5,936","5,075","65,495","54,460","8,121","35,575","34,305","38,120","3,208","1,429","25,014","2,109","ZIP_Code-60641-2019"
"ZIP Code","2019","60642","19,716","1,839","6,660","5,777","2,209","1,378","1,149","484","220","916","581","342","18,800","17,877","1,175","9,427","10,289","3,202","1,427","1,962","12,534","591","ZIP_Code-60642-2019"
"ZIP Code","2019","60643","48,887","10,830","5,760","5,903","5,640","7,757","6,766","3,341","2,890","2,989","3,560","4,254","45,898","38,057","9,169","26,875","22,012","1,509","139","35,352","10,446","1,441","ZIP_Code-60643-2019"
"ZIP Code","2019","60644","46,591","12,104","8,152","5,982","5,530","5,631","5,072","2,507","1,613","3,337","4,801","3,963","43,254","34,487","6,470","24,672","21,919","3,194","103","41,158","1,781","355","ZIP_Code-60644-2019"
"ZIP Code","2019","60645","47,270","12,801","7,047","6,555","6,026","5,847","4,682","2,478","1,834","4,422","4,648","3,717","42,848","34,469","6,345","23,525","23,745","8,312","8,373","7,200","21,103","2,282","ZIP_Code-60645-2019"
"ZIP Code","2019","60646","28,569","6,507","3,187","3,464","3,915","3,779","3,546","2,231","1,940","1,801","2,422","2,284","26,768","22,062","5,914","15,310","13,259","4,300","2,771","286","20,625","587","ZIP_Code-60646-2019"
"ZIP Code","2019","60647","87,633","15,892","22,226","21,408","11,447","7,438","5,301","2,800","1,121","5,848","5,377","4,637","81,785","71,741","6,315","43,228","44,405","37,622","3,019","4,268","40,544","2,180","ZIP_Code-60647-2019"
"ZIP Code","2019","60649","46,633","10,399","7,662","7,040","6,036","5,582","5,548","2,849","1,517","3,122","3,913","3,359","43,511","36,234","6,723","26,590","20,043","1,189","148","43,366","1,234","696","ZIP_Code-60649-2019"
"ZIP Code","2019","60651","63,492","17,077","11,299","9,175","8,027","7,257","5,959","3,196","1,502","4,563","6,594","5,906","58,929","46,415","7,500","34,216","29,276","27,245","295","32,223","2,799","930","ZIP_Code-60651-2019"
"ZIP Code","2019","60652","43,447","11,360","7,017","5,397","6,166","6,133","4,153","2,034","1,187","2,695","4,731","3,933","40,752","32,087","5,061","23,006","20,441","18,027","429","19,747","4,183","1,061","ZIP_Code-60652-2019"
"ZIP Code","2019","60653","33,154","9,162","5,169","4,760","4,211","3,680","3,352","1,842","978","2,902","3,319","2,923","30,252","23,992","4,239","18,812","14,342","913","418","29,379","1,624","820","ZIP_Code-60653-2019"
"ZIP Code","2019","60654","20,022","1,463","5,555","5,971","2,723","2,090","1,477","539","204","973","404","86","19,049","18,559","1,330","9,979","10,043","1,156","2,851","1,070","14,365","580","ZIP_Code-60654-2019"
"ZIP Code","2019","60655","28,569","7,025","4,090","3,459","3,862","4,305","3,293","1,583","952","1,922","2,689","2,414","26,647","21,544","3,648","14,627","13,942","2,586","436","1,836","23,377","334","ZIP_Code-60655-2019"
"ZIP Code","2019","60656","28,218","5,241","3,628","5,206","3,587","3,756","3,230","2,244","1,326","1,878","1,902","1,461","26,340","22,977","4,968","13,796","14,422","3,768","2,372","327","21,089","662","ZIP_Code-60656-2019"
"ZIP Code","2019","60657","70,958","8,951","23,709","17,072","7,136","5,847","4,529","2,158","1,556","3,875","3,048","2,028","67,083","62,007","5,702","35,306","35,652","5,385","4,887","2,085","56,603","1,998","ZIP_Code-60657-2019"
"ZIP Code","2019","60659","42,735","11,218","6,875","6,767","5,499","5,173","3,984","2,231","988","3,272","4,435","3,503","39,463","31,517","5,103","21,244","21,491","8,873","11,861","3,453","16,070","2,478","ZIP_Code-60659-2019"
"ZIP Code","2019","60660","44,498","5,361","10,768","8,716","5,623","5,616","4,552","2,422","1,440","2,009","2,166","1,138","42,489","39,137","5,942","22,027","22,471","7,614","6,000","5,937","23,247","1,700","ZIP_Code-60660-2019"
"ZIP Code","2019","60661","10,354","917","3,386","3,459","1,430","658","409","58","37","492","292","133","9,862","9,437","332","5,173","5,181","641","2,950","429","6,027","307","ZIP_Code-60661-2019"
"ZIP Code","2019","60666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ZIP_Code-60666-2019"
"ZIP Code","2019","60707","43,093","8,982","6,752","5,495","6,005","6,181","5,269","2,826","1,583","2,331","3,726","2,925","40,762","34,111","6,979","22,556","20,537","16,862","1,533","2,981","20,783","934","ZIP_Code-60707-2019"
"ZIP Code","2019","60827","28,483","8,229","5,017","3,329","4,095","3,389","2,758","1,177","489","2,578","3,115","2,530","25,905","20,254","2,859","16,017","12,466","1,486","39","25,575","848","535","ZIP_Code-60827-2019"
"Citywide","2020","Chicago","2,699,347","552,668","548,747","463,143","336,591","313,865","255,435","145,426","83,472","165,844","207,791","177,949","2,533,503","2,146,679","342,174","1,388,469","1,310,878","772,791","182,251","776,470","900,055","67,780","Citywide-Chicago-2020"
"ZIP Code","2020","60601","14,513","825","4,696","3,048","1,815","809","1,974","1,070","276","275","410","120","14,238","13,688","2,605","7,894","6,619","1,242","3,528","679","8,614","450","ZIP_CODE-60601-2020"
"ZIP Code","2020","60602","1,596","115","332","860","191","81","17","0","0","49","66","0","1,547","1,481","4","744","852","120","435","37","794","210","ZIP_CODE-60602-2020"
